No.,標準特厚,種,杭種,typ,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y
231,標準,,SC-600-標準-105-9,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
232,標準,,SC-600-標準-105-12,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
233,標準,,SC-600-標準-105-14,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
234,標準,,SC-600-標準-105-16,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
235,標準,,SC-600-標準-105-19,SC,600,90,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
236,特厚,,SC-600-特厚-105-4.5,SC,600,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,4.5,325,200000,0
237,特厚,,SC-600-特厚-105-6,SC,600,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
238,特厚,,SC-600-特厚-105-9,SC,600,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
239,特厚,,SC-600-特厚-105-12,SC,600,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
240,特厚,,SC-600-特厚-105-14,SC,600,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
241,特厚,,SC-600-特厚-105-16,SC,600,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
242,特厚,,SC-600-特厚-105-19,SC,600,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
243,標準,,SC-700-標準-80-6,SC,700,100,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
244,標準,,SC-700-標準-80-9,SC,700,100,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
245,標準,,SC-700-標準-80-12,SC,700,100,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
246,標準,,SC-700-標準-80-14,SC,700,100,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
247,標準,,SC-700-標準-80-16,SC,700,100,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
248,標準,,SC-700-標準-80-19,SC,700,100,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
249,標準,,SC-700-標準-105-6,SC,700,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
250,標準,,SC-700-標準-105-9,SC,700,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
251,標準,,SC-700-標準-105-12,SC,700,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
252,標準,,SC-700-標準-105-14,SC,700,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
253,標準,,SC-700-標準-105-16,SC,700,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
254,標準,,SC-700-標準-105-19,SC,700,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
255,標準,,SC-700-標準-105-22,SC,700,100,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,22,325,200000,0
256,特厚,,SC-700-特厚-105-6,SC,700,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
