Maker,Series,Shape,Name,Do,D,t,ThicknessType,Fc,PrestressType,PcDesignation,PcCount,Ap,PCD,BarDesignation,BarCount,Ag,BarPCD,Ao,Ae,So,SoFromSection,Io,Ie,Ze,SigmaCe,ShearBarStdDia490,ShearBarStdPitch490,ShearBarStdDia785,ShearBarStdPitch785,ShearBarHighDia785,ShearBarHighPitch785,Msc,Mal,Mas,Mu,Qal,QasStd10,QasStd15,QasStd20,QuStd10,QuStd15,QuStd20,QasHigh10,QasHigh15,QasHigh20,QuHigh10,QuHigh15,QuHigh20,Nal,PhcAe,PhcIe,PhcSigmaCe,PhcMc,PhcMu,PhcQas,PhcQu,PhcNal,Ec,Ftp,SigmaPu,Ep,BarFtu,BarFy,Er,BarAllowLong,BarAllowLongD29Up,BarAllowShort,FcAllowCompLong,FcAllowCompShort,PrcAllowDiagLong,PhcAllowDiagLong,PhcAllowDiagShort,PhcAllowBendTensLongFactor,PhcAllowBendTensShortFactor,MassPerM,NodePitch,HeadOffset,ToeOffset,Note
ジャパンパイル,JP-NPRC105,節杭,550-400,550.0,400.0,80.0,特厚,105.0,Ⅳ,10.0,8,628.0,335.0,D22,8,3097.0,320.0,80400.0,95700.0,4181000.0,4181333.3333333335,1093800000.0,1292900000.0,6465000.0,5.4,5.5,55.0,5.0,70.0,5.0,55.0,73.7,115.3,195.0,285.2,139.0,281.0,209.0,171.0,422.0,313.0,256.0,291.0,219.0,181.0,437.0,329.0,272.0,2354.0,82900.0,1129000000.0,6.1,77.0,145.0,158.0,206.0,1981.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.267,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,70.0,標準,105.0,Ⅰ,10.0,10,785.0,380.0,D13,10,1267.0,376.0,83600.0,91900.0,5111000.0,5111166.666666667,1559600000.0,1708800000.0,7595000.0,6.8,6.5,65.0,6.0,90.0,6.0,65.0,96.3,125.3,182.4,272.9,145.0,284.0,216.0,180.0,426.0,323.0,270.0,302.0,234.0,198.0,453.0,350.0,296.0,2132.0,86700.0,1616200000.0,7.1,105.0,204.0,171.0,223.0,1985.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.283,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,70.0,標準,105.0,Ⅱ,10.0,10,785.0,380.0,D16,10,1986.0,372.0,83600.0,94900.0,5111000.0,5111166.666666667,1559600000.0,1758200000.0,7814000.0,6.6,6.5,65.0,6.0,90.0,6.0,65.0,97.4,133.2,208.3,309.9,147.0,299.0,226.0,187.0,448.0,339.0,281.0,317.0,244.0,205.0,475.0,366.0,308.0,2221.0,86700.0,1616200000.0,7.1,105.0,204.0,171.0,223.0,1985.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.283,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,70.0,標準,105.0,Ⅲ,10.0,10,785.0,380.0,D19,10,2865.0,368.0,83600.0,98500.0,5111000.0,5111166.666666667,1559600000.0,1816700000.0,8074000.0,6.4,6.5,65.0,6.0,90.0,6.0,65.0,99.0,142.4,239.8,353.8,150.0,314.0,236.0,195.0,471.0,354.0,292.0,332.0,254.0,213.0,498.0,381.0,319.0,2325.0,86700.0,1616200000.0,7.1,105.0,204.0,171.0,223.0,1985.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.283,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,70.0,標準,105.0,Ⅳ,10.0,10,785.0,380.0,D22,10,3871.0,365.0,83600.0,102700.0,5111000.0,5111166.666666667,1559600000.0,1882700000.0,8368000.0,6.2,6.5,65.0,6.0,90.0,6.0,65.0,100.8,152.4,274.8,402.5,154.0,328.0,245.0,202.0,491.0,368.0,303.0,346.0,263.0,220.0,518.0,395.0,330.0,2444.0,86700.0,1616200000.0,7.1,105.0,204.0,171.0,223.0,1985.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.283,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,75.0,標準,105.0,Ⅴ,10.0,10,785.0,380.0,D25,10,5067.0,362.0,88400.0,112400.0,5344000.0,5343750.0,1615300000.0,2015100000.0,8956000.0,5.7,6.5,65.0,6.0,90.0,6.0,65.0,104.8,167.8,315.2,459.0,163.0,349.0,259.0,212.0,523.0,389.0,319.0,366.0,277.0,230.0,550.0,416.0,345.0,2731.0,91500.0,1672000000.0,6.8,106.0,204.0,178.0,232.0,2123.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.302,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,85.0,特厚,105.0,Ⅰ,10.0,10,785.0,380.0,D13,10,1267.0,376.0,97500.0,105800.0,5764000.0,5764416.666666667,1711200000.0,1860400000.0,8268000.0,6.0,6.5,65.0,6.0,90.0,6.0,65.0,99.2,132.4,182.9,273.1,161.0,299.0,226.0,187.0,448.0,338.0,280.0,316.0,243.0,204.0,475.0,365.0,307.0,2539.0,100600.0,1767800000.0,6.3,108.0,204.0,192.0,251.0,2384.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.326,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,85.0,特厚,105.0,Ⅱ,10.0,10,785.0,380.0,D16,10,1986.0,372.0,97500.0,108800.0,5764000.0,5764416.666666667,1711200000.0,1909800000.0,8488000.0,5.8,6.5,65.0,6.0,90.0,6.0,65.0,100.2,141.2,208.1,310.2,163.0,315.0,237.0,195.0,473.0,355.0,293.0,333.0,254.0,213.0,499.0,381.0,319.0,2633.0,100600.0,1767800000.0,6.3,108.0,204.0,192.0,251.0,2384.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.326,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,85.0,特厚,105.0,Ⅲ,10.0,10,785.0,380.0,D19,10,2865.0,368.0,97500.0,112400.0,5764000.0,5764416.666666667,1711200000.0,1968300000.0,8748000.0,5.7,6.5,65.0,6.0,90.0,6.0,65.0,102.4,151.4,240.3,354.4,167.0,331.0,248.0,204.0,497.0,371.0,305.0,349.0,265.0,221.0,523.0,398.0,332.0,2731.0,100600.0,1767800000.0,6.3,108.0,204.0,192.0,251.0,2384.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.326,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,85.0,特厚,105.0,Ⅳ,10.0,10,785.0,380.0,D22,10,3871.0,365.0,97500.0,116600.0,5764000.0,5764416.666666667,1711200000.0,2034300000.0,9041000.0,5.5,6.5,65.0,6.0,90.0,6.0,65.0,104.0,162.3,275.0,403.6,170.0,346.0,258.0,211.0,519.0,387.0,317.0,364.0,275.0,229.0,546.0,413.0,343.0,2857.0,100600.0,1767800000.0,6.3,108.0,204.0,192.0,251.0,2384.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.326,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,600-450,600.0,450.0,85.0,特厚,105.0,Ⅴ,10.0,10,785.0,380.0,D25,10,5067.0,362.0,97500.0,121500.0,5764000.0,5764416.666666667,1711200000.0,2110900000.0,9382000.0,5.3,6.5,65.0,6.0,90.0,6.0,65.0,106.0,174.5,315.4,460.0,174.0,361.0,268.0,218.0,541.0,401.0,328.0,378.0,285.0,236.0,568.0,428.0,354.0,3001.0,100600.0,1767800000.0,6.3,108.0,204.0,192.0,251.0,2384.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.326,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,650-500,650.0,500.0,80.0,標準,105.0,Ⅰ,10.0,12,942.0,420.0,D13,12,1520.0,416.0,105600.0,115600.0,7141000.0,7141333.333333333,2412000000.0,2631000000.0,10524000.0,6.5,6.5,60.0,6.0,80.0,6.0,60.0,130.3,171.4,243.8,365.3,179.0,350.0,266.0,221.0,526.0,399.0,332.0,371.0,286.0,242.0,557.0,430.0,363.0,2717.0,109400.0,2495100000.0,6.8,143.0,273.0,213.0,278.0,2538.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.356,1000.0,600.0,400.0,
