No.,標準特厚,種,typ,杭種,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y,CatalogAo,CatalogAe,CatalogIe,CatalogMal,CatalogMas,CatalogMcr,CatalogMu,CatalogQal,CatalogQas,CatalogQcr,CatalogNal,PcDesignation,PcCount
1033,特厚型,C,MS-hi105-500-特厚型-C,PHC,500,120,105,60,5.00,10.0,40000,1800,420,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,143300,150500,3002400000,150.0,180.0,204.0,473.0,279.0,351.0,451.0,3009.0,11.2,18
1034,標準型,A,MS-hi105-600-標準型-A,PHC,600,90,105,60,2.00,4.0,40000,768,510,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,144200,147300,4934150000,82.0,98.0,180.0,270.0,183.0,237.0,317.0,3829.0,9.0,12
1035,厚型,A,MS-hi105-600-厚型-A,PHC,600,110,105,60,1.95,3.9,40000,768,510,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,169300,172400,5438060000,89.0,107.0,198.0,270.0,217.0,281.0,375.0,4493.0,9.0,12
1036,特厚型,A,MS-hi105-600-特厚型-A,PHC,600,130,105,60,2.00,4.0,40000,942,510,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,192000,195700,5828260000,97.0,116.0,213.0,327.0,251.0,325.0,434.0,5089.0,10.0,12
1037,標準型,B,MS-hi105-600-標準型-B,PHC,600,90,105,60,4.00,8.0,40000,1536,510,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,144200,150300,5034030000,167.0,201.0,251.0,518.0,244.0,308.0,400.0,3308.0,9.0,24
1038,厚型,B,MS-hi105-600-厚型-B,PHC,600,110,105,60,3.80,7.6,40000,1536,510,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,169300,175500,5537940000,174.0,209.0,268.0,516.0,283.0,359.0,465.0,3936.0,9.0,24
1039,特厚型,B,MS-hi105-600-特厚型-B,PHC,600,130,105,60,4.00,8.0,40000,1884,510,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,192000,199500,5950760000,198.0,238.0,297.0,622.0,334.0,423.0,547.0,4389.0,10.0,24
1040,標準型,C,MS-hi105-600-標準型-C,PHC,600,90,105,60,5.00,10.0,40000,1884,510,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,144200,151700,5079290000,211.0,253.0,287.0,627.0,269.0,339.0,435.0,3035.0,10.0,24
1041,厚型,C2,MS-hi105-600-厚型-C2,PHC,600,110,105,60,4.55,9.1,40000,1884,510,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,169300,176900,5583200000,212.0,254.0,300.0,624.0,307.0,387.0,499.0,3692.0,10.0,24
1042,特厚型,C,MS-hi105-600-特厚型-C,PHC,600,130,105,60,5.00,10.0,40000,2400,510,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,192000,201600,6017870000,250.0,300.0,341.0,771.0,369.0,464.0,596.0,4031.0,11.2,24
1043,標準型,A,MS-hi105-700-標準型-A,PHC,700,100,105,60,2.00,4.0,40000,1024,600,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,188500,192600,8902230000,127.0,152.0,279.0,421.0,239.0,310.0,413.0,5007.0,9.0,16
